drug,indication,company,pdufa_date,fda_date_no_pdufa,source_url
Andembry (garadacimab),Hereditary angioedema,CSL,6.18.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Nitisinone,Alkaptonuria,Cycle Pharmaceuticals,6.19.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Dupixent,Bullous Pemphigoid,Sanofi,6.20.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Taletrectinib,Advanced ROS1-positive non-small cell lung cancer,Nuvation Bio,6.23.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Gamifant (emapalumab),Still's disease,Sobi,6.28.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Gammagard Liquid ERC (immune globulin infusion),Primary immunodeficiencies,Takeda,6.30.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Linvoseltamab,Multiple myeloma,Regeneron Pharmaceuticals,7.10.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Avatrombopag,Immune thrombocytopenia,Sobi North America,7.24.2025﻿,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
TransCon hGH,Growth hormone deficiency,Ascendis Pharma,7.27.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Empaveli (pegcetacoplan),C3G and primary IC-MPGN,Apellis Pharmaceuticals,7.28.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Sepiapterin,Phenylketonuria (PKU),PTC Therapeutics,7.29.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Odronextamab,Follicular lymphoma,Regeneron Pharmaceuticals,7.30.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Alhemo (concizumab),Hemophilia A or B without inhibitors,Novo Nordisk,7.31.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
UX111,Sanfilippo syndrome (MPS IIIA),Ultragenyx,8.18.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Dordaviprone,H3 K27M-mutant diffuse glioma,Jazz Pharmaceuticals,8.18.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Vatiquinone,Friedreich's ataxia,PTC Therapeutics,8.19.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Donidalorsen,Hereditary Angioedema,Ionis Pharmaceuticals,8.21.2025﻿,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
PRGN-2012 (zopapogene imadenovec),Recurrent respiratory papillomatosis (RRP),Precigen,8.27.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Filspari,IgA nephropathy,Travere Therapeutics,8.28.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Rilzabrutinib,Immune thrombocytopenia,Sanofi,8.29.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Deramiocel,Duchenne muscular dystrophy,Capricor Therapeutics,8.31.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Orladeyo (berotralstat),Hereditary angioedema (HAE),BioCryst Pharmaceuticals,9.12.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Apitegromab,Spinal muscular atrophy,Scholar Rock,9.22.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Paltusotine,Acromegaly,Crinetics Pharmaceuticals,9.25.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
CUTX-101 (Copper Histidinate),Menkes disease,Fortress Biotech,9.30.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Epioxa (Epi-on),Keratoconus,Glaukos Corporation,10.20.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Belantamab mafodotin,Multiple myeloma,GSK,10.23.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Revuforj (revumenib),mNPM1 acute myeloid leukemia,Syndax Pharmaceuticals,10.25.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Plozasiran,Familial chylomicronemia syndrome,Arrowhead Pharmaceuticals,11.18.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Sibeprenlimab,Immunoglobulin A nephropathy (IgAN),Otsuka Pharmaceutical Co.,11.28.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Ziftomenib,Relapsed or refractory acute myeloid leukemia (AML) with an NPM1 mutation,Kura Oncology and Kyowa Kirin,11.30.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Pyrukynd (mitapivat),Alpha- and beta-thalassemia,Agios Pharmaceuticals,12.7.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Uplizna,Myasthenia gravis,Amgen,12.14.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Aficamten,Obstructive hypertrophic cardiomyopathy (oHCM),Cytokinetics,12.26.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Relacorilant,Cushing's syndrome,Corcept Therapeutics,12.30.2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Troriluzole,Spinocerebellar ataxia (SCA),Biohaven,Q4 2025,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Tividenofusp alfa,Hunter syndrome (MPS II),Denali Therapeutics,1.5.2026,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Clemidsogene lanparvovec (RGX-121),Mucopolysaccharidosis II (MPS II),REGENXBIO,2.8.2026,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Tabelecleucel,Epstein-Barr virus positive post-transplant lymphoproliferative disease (EBV+ PTLD),Pierre Fabre Pharmaceuticals,10.10.2026,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
Inqovi (decitabine and cedazuridine) plus Venclexta (venetoclax),Acute myeloid leukemia,Taiho Oncology,2.25.2026,,https://checkrare.com/2025-orphan-drugs-pdufa-dates-and-fda-approvals/
